Resultados RandomForestClassifier

--- Resultados con 1 hilos ---
{'params': {'n_estimators': 50, 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 2}, 'accuracy': 0.6898263027295285, 'recall': 0.4233128834355828, 'time': 0.2161877155303955}
{'params': {'n_estimators': 50, 'max_depth': 30, 'min_samples_split': 5, 'min_samples_leaf': 1}, 'accuracy': 0.6674937965260546, 'recall': 0.4539877300613497, 'time': 0.21253085136413574}
{'params': {'n_estimators': 50, 'max_depth': 30, 'min_samples_split': 5, 'min_samples_leaf': 2}, 'accuracy': 0.6699751861042184, 'recall': 0.3803680981595092, 'time': 0.2216930389404297}
{'params': {'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1}, 'accuracy': 0.6774193548387096, 'recall': 0.3128834355828221, 'time': 0.3455214500427246}
{'params': {'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2}, 'accuracy': 0.6674937965260546, 'recall': 0.3496932515337423, 'time': 0.35666608810424805}
{'params': {'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1}, 'accuracy': 0.674937965260546, 'recall': 0.36809815950920244, 'time': 0.37505459785461426}
{'params': {'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2}, 'accuracy': 0.6947890818858561, 'recall': 0.3496932515337423, 'time': 0.37539076805114746}
{'params': {'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1}, 'accuracy': 0.6674937965260546, 'recall': 0.3987730061349693, 'time': 0.5040767192840576}
{'params': {'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 2}, 'accuracy': 0.6625310173697271, 'recall': 0.3803680981595092, 'time': 0.4541604518890381}
{'params': {'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 1}, 'accuracy': 0.6674937965260546, 'recall': 0.4049079754601227, 'time': 0.4477846622467041}
{'params': {'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 2}, 'accuracy': 0.6799007444168734, 'recall': 0.44785276073619634, 'time': 0.42842698097229004}
{'params': {'n_estimators': 100, 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 1}, 'accuracy': 0.6774193548387096, 'recall': 0.3987730061349693, 'time': 0.4630012512207031}
{'params': {'n_estimators': 100, 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 2}, 'accuracy': 0.6476426799007444, 'recall': 0.4171779141104294, 'time': 0.44554686546325684}
{'params': {'n_estimators': 100, 'max_depth': 30, 'min_samples_split': 5, 'min_samples_leaf': 1}, 'accuracy': 0.6873449131513648, 'recall': 0.4601226993865031, 'time': 0.4540247917175293}
{'params': {'n_estimators': 100, 'max_depth': 30, 'min_samples_split': 5, 'min_samples_leaf': 2}, 'accuracy': 0.6674937965260546, 'recall': 0.4110429447852761, 'time': 0.43239545822143555}
{'params': {'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1}, 'accuracy': 0.684863523573201, 'recall': 0.3619631901840491, 'time': 0.6931886672973633}
{'params': {'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2}, 'accuracy': 0.6823821339950372, 'recall': 0.37423312883435583, 'time': 0.7268881797790527}
{'params': {'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1}, 'accuracy': 0.6923076923076923, 'recall': 0.3496932515337423, 'time': 0.6987161636352539}
{'params': {'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2}, 'accuracy': 0.6823821339950372, 'recall': 0.3312883435582822, 'time': 0.6851661205291748}
{'params': {'n_estimators': 200, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1}, 'accuracy': 0.6426799007444168, 'recall': 0.32515337423312884, 'time': 0.8405253887176514}
{'params': {'n_estimators': 200, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 2}, 'accuracy': 0.6898263027295285, 'recall': 0.4233128834355828, 'time': 0.8244304656982422}
{'params': {'n_estimators': 200, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 1}, 'accuracy': 0.674937965260546, 'recall': 0.4233128834355828, 'time': 0.8307676315307617}
{'params': {'n_estimators': 200, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 2}, 'accuracy': 0.684863523573201, 'recall': 0.4110429447852761, 'time': 0.7834033966064453}
{'params': {'n_estimators': 200, 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 1}, 'accuracy': 0.6674937965260546, 'recall': 0.38650306748466257, 'time': 0.8532967567443848}
{'params': {'n_estimators': 200, 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 2}, 'accuracy': 0.684863523573201, 'recall': 0.4294478527607362, 'time': 0.8258781433105469}
{'params': {'n_estimators': 200, 'max_depth': 30, 'min_samples_split': 5, 'min_samples_leaf': 1}, 'accuracy': 0.6873449131513648, 'recall': 0.4110429447852761, 'time': 0.8597605228424072}
{'params': {'n_estimators': 200, 'max_depth': 30, 'min_samples_split': 5, 'min_samples_leaf': 2}, 'accuracy': 0.7022332506203474, 'recall': 0.43558282208588955, 'time': 0.7976601123809814}

--- Resultados con 4 hilos ---
{'params': {'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1}, 'accuracy': 0.71712158808933, 'recall': 0.43558282208588955, 'time': 0.1814131736755371}
{'params': {'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2}, 'accuracy': 0.6898263027295285, 'recall': 0.3558282208588957, 'time': 0.18230962753295898}
{'params': {'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1}, 'accuracy': 0.684863523573201, 'recall': 0.3496932515337423, 'time': 0.18699288368225098}
{'params': {'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2}, 'accuracy': 0.6873449131513648, 'recall': 0.3496932515337423, 'time': 0.1787569522857666}
{'params': {'n_estimators': 50, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1}, 'accuracy': 0.6699751861042184, 'recall': 0.4049079754601227, 'time': 0.22030973434448242}
{'params': {'n_estimators': 50, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 2}, 'accuracy': 0.6724565756823822, 'recall': 0.3619631901840491, 'time': 0.24689149856567383}
{'params': {'n_estimators': 50, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 1}, 'accuracy': 0.6650124069478908, 'recall': 0.36809815950920244, 'time': 0.22570466995239258}
{'params': {'n_estimators': 50, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 2}, 'accuracy': 0.6699751861042184, 'recall': 0.3987730061349693, 'time': 0.21426987648010254}
{'params': {'n_estimators': 50, 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 1}, 'accuracy': 0.6823821339950372, 'recall': 0.4539877300613497, 'time': 0.22331547737121582}
{'params': {'n_estimators': 50, 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 2}, 'accuracy': 0.6625310173697271, 'recall': 0.3987730061349693, 'time': 0.23100876808166504}
{'params': {'n_estimators': 50, 'max_depth': 30, 'min_samples_split': 5, 'min_samples_leaf': 1}, 'accuracy': 0.6501240694789082, 'recall': 0.44785276073619634, 'time': 0.22105741500854492}
{'params': {'n_estimators': 50, 'max_depth': 30, 'min_samples_split': 5, 'min_samples_leaf': 2}, 'accuracy': 0.7096774193548387, 'recall': 0.48466257668711654, 'time': 0.21332216262817383}
{'params': {'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1}, 'accuracy': 0.674937965260546, 'recall': 0.31901840490797545, 'time': 0.3490149974822998}
{'params': {'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2}, 'accuracy': 0.6774193548387096, 'recall': 0.2883435582822086, 'time': 0.3854360580444336}
{'params': {'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1}, 'accuracy': 0.6873449131513648, 'recall': 0.3374233128834356, 'time': 0.3494870662689209}
{'params': {'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2}, 'accuracy': 0.652605459057072, 'recall': 0.3312883435582822, 'time': 0.3508429527282715}
{'params': {'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1}, 'accuracy': 0.6600496277915633, 'recall': 0.3619631901840491, 'time': 0.43590259552001953}
{'params': {'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 2}, 'accuracy': 0.6625310173697271, 'recall': 0.3803680981595092, 'time': 0.4125988483428955}
{'params': {'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 1}, 'accuracy': 0.7096774193548387, 'recall': 0.4049079754601227, 'time': 0.4603879451751709}
{'params': {'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 2}, 'accuracy': 0.6352357320099256, 'recall': 0.37423312883435583, 'time': 0.4177858829498291}
{'params': {'n_estimators': 100, 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 1}, 'accuracy': 0.6600496277915633, 'recall': 0.38650306748466257, 'time': 0.44356226921081543}
{'params': {'n_estimators': 100, 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 2}, 'accuracy': 0.7121588089330024, 'recall': 0.4294478527607362, 'time': 0.42859697341918945}
{'params': {'n_estimators': 100, 'max_depth': 30, 'min_samples_split': 5, 'min_samples_leaf': 1}, 'accuracy': 0.674937965260546, 'recall': 0.38650306748466257, 'time': 0.4715242385864258}
{'params': {'n_estimators': 100, 'max_depth': 30, 'min_samples_split': 5, 'min_samples_leaf': 2}, 'accuracy': 0.6923076923076923, 'recall': 0.4294478527607362, 'time': 0.429884672164917}
{'params': {'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1}, 'accuracy': 0.6550868486352357, 'recall': 0.27607361963190186, 'time': 0.7013614177703857}
{'params': {'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2}, 'accuracy': 0.6451612903225806, 'recall': 0.26993865030674846, 'time': 0.6798264980316162}
{'params': {'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1}, 'accuracy': 0.6947890818858561, 'recall': 0.3619631901840491, 'time': 0.683506965637207}
{'params': {'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2}, 'accuracy': 0.6426799007444168, 'recall': 0.32515337423312884, 'time': 0.710446834564209}
{'params': {'n_estimators': 200, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1}, 'accuracy': 0.6873449131513648, 'recall': 0.3987730061349693, 'time': 0.9126558303833008}
{'params': {'n_estimators': 200, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 2}, 'accuracy': 0.6724565756823822, 'recall': 0.3987730061349693, 'time': 0.8322877883911133}
{'params': {'n_estimators': 200, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 1}, 'accuracy': 0.6923076923076923, 'recall': 0.39263803680981596, 'time': 0.8706755638122559}
